customer_num,most_common_order_type,average_days_between_orders,median_days_between_orders,max_gap_between_orders,first_order_date,last_order_date,num_orders,num_of_unique_items,company_lifetime_in_days,orders_per_week,Churned
2,Régulière,4 days 22:56:28.235294117,2 days 00:00:00.000000000,159 days 00:00:00.000000000,2017-04-04,2018-03-07,90,203,337 days 00:00:00.000000000,1.8694362017804154,1
6,Narcotique,37 days 00:00:00.000000000,35 days 12:00:00.000000000,91 days 00:00:00.000000000,2017-04-04,2018-06-22,13,11,444 days 00:00:00.000000000,0.20495495495495494,1
10,Régulière,1 days 17:20:17.081850533,1 days 00:00:00.000000000,7 days 00:00:00.000000000,2017-04-03,2018-07-31,558,575,484 days 00:00:00.000000000,8.070247933884298,0
16,Régulière,5 days 11:51:43.448275862,5 days 00:00:00.000000000,22 days 00:00:00.000000000,2017-04-04,2018-07-26,122,190,478 days 00:00:00.000000000,1.786610878661088,0
18,Régulière,2 days 19:23:43.255813953,2 days 00:00:00.000000000,13 days 00:00:00.000000000,2017-04-04,2018-07-31,236,862,483 days 00:00:00.000000000,3.420289855072464,0
21,Régulière,1 days 11:09:58.187311178,1 days 00:00:00.000000000,5 days 00:00:00.000000000,2017-04-03,2018-08-01,701,715,485 days 00:00:00.000000000,10.117525773195876,0
22,Régulière,1 days 11:57:47.889908256,1 days 00:00:00.000000000,5 days 00:00:00.000000000,2017-04-02,2018-08-05,482,938,490 days 00:00:00.000000000,6.885714285714286,0
25,Régulière,3 days 19:21:17.419354838,3 days 00:00:00.000000000,25 days 00:00:00.000000000,2017-04-03,2018-07-19,245,659,472 days 00:00:00.000000000,3.633474576271186,0
30,Régulière,3 days 13:02:36.521739130,3 days 00:00:00.000000000,14 days 00:00:00.000000000,2017-04-04,2018-08-06,161,384,489 days 00:00:00.000000000,2.3047034764826178,0
36,Régulière,1 days 11:03:36.867469879,1 days 00:00:00.000000000,6 days 00:00:00.000000000,2017-04-03,2018-08-01,631,1013,485 days 00:00:00.000000000,9.10721649484536,0
39,Régulière,1 days 17:56:06.064981949,1 days 00:00:00.000000000,18 days 00:00:00.000000000,2017-04-04,2018-08-01,579,800,484 days 00:00:00.000000000,8.37396694214876,0
43,Régulière,1 days 14:14:33.442622950,1 days 00:00:00.000000000,6 days 00:00:00.000000000,2017-04-03,2018-08-02,601,1645,486 days 00:00:00.000000000,8.656378600823047,0
50,Régulière,1 days 15:58:20.689655172,1 days 00:00:00.000000000,6 days 00:00:00.000000000,2017-04-04,2018-07-31,436,577,483 days 00:00:00.000000000,6.318840579710145,0
57,Régulière,1 days 11:05:56.756756756,1 days 00:00:00.000000000,5 days 00:00:00.000000000,2017-04-02,2018-08-02,486,1583,487 days 00:00:00.000000000,6.985626283367557,0
59,Régulière,51 days 12:00:00.000000000,48 days 12:00:00.000000000,78 days 00:00:00.000000000,2017-06-07,2018-07-24,9,19,412 days 00:00:00.000000000,0.15291262135922332,0
66,Régulière,6 days 06:18:56.842105263,6 days 00:00:00.000000000,18 days 00:00:00.000000000,2017-04-05,2018-07-25,82,225,476 days 00:00:00.000000000,1.2058823529411764,0
67,Régulière,35 days 21:20:00.000000000,20 days 00:00:00.000000000,125 days 00:00:00.000000000,2017-05-03,2018-03-22,10,14,323 days 00:00:00.000000000,0.21671826625386997,1
79,Régulière,2 days 02:37:12.314410480,2 days 00:00:00.000000000,6 days 00:00:00.000000000,2017-04-04,2018-07-31,254,814,483 days 00:00:00.000000000,3.6811594202898545,0
103,Régulière,4 days 14:24:00.000000000,5 days 00:00:00.000000000,21 days 00:00:00.000000000,2017-04-10,2018-08-06,165,303,483 days 00:00:00.000000000,2.391304347826087,0
110,Régulière,1 days 12:40:30.000000000,1 days 00:00:00.000000000,6 days 00:00:00.000000000,2017-04-03,2018-08-05,501,631,489 days 00:00:00.000000000,7.171779141104295,0
114,Régulière,1 days 09:00:30.252100840,1 days 00:00:00.000000000,5 days 00:00:00.000000000,2017-04-03,2018-08-07,493,942,491 days 00:00:00.000000000,7.028513238289206,0
115,Régulière,3 days 01:31:08.354430379,2 days 00:00:00.000000000,11 days 00:00:00.000000000,2017-04-03,2018-07-31,188,403,484 days 00:00:00.000000000,2.71900826446281,0
116,Régulière,1 days 11:00:00.000000000,1 days 00:00:00.000000000,5 days 00:00:00.000000000,2017-04-04,2018-08-07,842,1730,490 days 00:00:00.000000000,12.028571428571428,0
117,Régulière,1 days 10:24:25.486725663,1 days 00:00:00.000000000,5 days 00:00:00.000000000,2017-04-02,2018-08-01,635,1083,486 days 00:00:00.000000000,9.146090534979425,0
118,Régulière,1 days 08:47:19.436619718,1 days 00:00:00.000000000,5 days 00:00:00.000000000,2017-04-03,2018-08-01,1146,1875,485 days 00:00:00.000000000,16.540206185567012,0
122,Régulière,1 days 16:11:37.577854671,1 days 00:00:00.000000000,7 days 00:00:00.000000000,2017-04-03,2018-07-31,361,1066,484 days 00:00:00.000000000,5.221074380165289,0
123,Régulière,1 days 10:49:04.477611940,1 days 00:00:00.000000000,5 days 00:00:00.000000000,2017-04-03,2018-08-02,619,824,486 days 00:00:00.000000000,8.915637860082304,0
126,Régulière,1 days 06:33:04.251968503,1 days 00:00:00.000000000,5 days 00:00:00.000000000,2017-04-03,2018-08-01,2222,1734,485 days 00:00:00.000000000,32.070103092783505,0
130,Régulière,11 days 04:40:58.536585365,7 days 00:00:00.000000000,42 days 00:00:00.000000000,2017-04-28,2018-07-31,52,158,459 days 00:00:00.000000000,0.7930283224400871,0
133,Régulière,1 days 15:40:24.489795918,1 days 00:00:00.000000000,5 days 00:00:00.000000000,2017-04-02,2018-08-01,428,698,486 days 00:00:00.000000000,6.1646090534979425,0
135,Régulière,8 days 08:22:19.534883720,6 days 00:00:00.000000000,33 days 00:00:00.000000000,2017-04-04,2018-03-29,55,89,359 days 00:00:00.000000000,1.0724233983286908,0
141,Régulière,302 days 00:00:00.000000000,302 days 00:00:00.000000000,302 days 00:00:00.000000000,2017-06-26,2018-04-24,2,3,302 days 00:00:00.000000000,0.046357615894039736,1
146,Régulière,58 days 20:34:17.142857143,45 days 00:00:00.000000000,120 days 00:00:00.000000000,2017-05-03,2018-06-19,8,16,412 days 00:00:00.000000000,0.13592233009708737,1
149,Régulière,1 days 10:37:10.088495575,1 days 00:00:00.000000000,5 days 00:00:00.000000000,2017-04-04,2018-08-06,475,1317,489 days 00:00:00.000000000,6.7995910020449895,0
153,Régulière,3 days 00:45:00.000000000,2 days 00:00:00.000000000,15 days 00:00:00.000000000,2017-04-03,2018-08-01,231,248,485 days 00:00:00.000000000,3.3340206185567007,0
156,PO requis,16 days 07:40:48.000000000,8 days 00:00:00.000000000,63 days 00:00:00.000000000,2017-05-28,2018-07-10,23,25,408 days 00:00:00.000000000,0.3946078431372549,0
158,Régulière,2 days 20:19:45.882352941,3 days 00:00:00.000000000,7 days 00:00:00.000000000,2017-04-02,2018-07-30,307,760,484 days 00:00:00.000000000,4.4400826446281,0
168,Régulière,96 days 12:00:00.000000000,87 days 12:00:00.000000000,162 days 00:00:00.000000000,2017-04-30,2018-05-21,5,3,386 days 00:00:00.000000000,0.09067357512953367,1
169,Régulière,1 days 11:22:47.781155015,1 days 00:00:00.000000000,6 days 00:00:00.000000000,2017-04-03,2018-08-01,475,729,485 days 00:00:00.000000000,6.855670103092783,0
172,Régulière,1 days 10:06:18.947368421,1 days 00:00:00.000000000,5 days 00:00:00.000000000,2017-04-03,2018-08-02,574,1018,486 days 00:00:00.000000000,8.267489711934157,0
173,Narcotique,16 days 14:46:09.230769230,13 days 12:00:00.000000000,50 days 00:00:00.000000000,2017-04-20,2018-06-26,26,26,432 days 00:00:00.000000000,0.4212962962962963,0
174,Régulière,1 days 15:01:49.090909090,1 days 00:00:00.000000000,6 days 00:00:00.000000000,2017-04-03,2018-07-30,658,1273,483 days 00:00:00.000000000,9.53623188405797,0
175,Régulière,6 days 04:18:27.692307692,6 days 00:00:00.000000000,15 days 00:00:00.000000000,2017-04-03,2018-07-29,80,365,482 days 00:00:00.000000000,1.1618257261410787,0
177,Régulière,1 days 10:40:56.973293768,1 days 00:00:00.000000000,5 days 00:00:00.000000000,2017-04-02,2018-08-02,2196,1318,487 days 00:00:00.000000000,31.564681724845997,0
181,Régulière,1 days 10:53:22.388059701,1 days 00:00:00.000000000,5 days 00:00:00.000000000,2017-04-02,2018-08-02,785,2363,487 days 00:00:00.000000000,11.283367556468173,0
183,Régulière,1 days 10:18:21.176470588,1 days 00:00:00.000000000,5 days 00:00:00.000000000,2017-04-03,2018-08-02,484,1184,486 days 00:00:00.000000000,6.9711934156378605,0
184,Régulière,1 days 12:59:14.430379746,1 days 00:00:00.000000000,5 days 00:00:00.000000000,2017-04-02,2018-08-02,374,1015,487 days 00:00:00.000000000,5.3757700205338805,0
186,PO requis,84 days 00:00:00.000000000,44 days 00:00:00.000000000,193 days 00:00:00.000000000,2017-05-29,2018-07-23,6,8,420 days 00:00:00.000000000,0.09999999999999999,1
187,Régulière,1 days 10:15:20.930232558,1 days 00:00:00.000000000,6 days 00:00:00.000000000,2017-04-02,2018-08-06,991,1885,491 days 00:00:00.000000000,14.128309572301427,0
191,Régulière,1 days 11:33:39.512195121,1 days 00:00:00.000000000,6 days 00:00:00.000000000,2017-04-03,2018-08-02,1178,1813,486 days 00:00:00.000000000,16.967078189300413,0
194,Régulière,1 days 13:21:01.736334405,1 days 00:00:00.000000000,5 days 00:00:00.000000000,2017-04-03,2018-07-31,842,1543,484 days 00:00:00.000000000,12.177685950413224,0
198,Régulière,1 days 10:12:19.002932551,1 days 00:00:00.000000000,5 days 00:00:00.000000000,2017-04-03,2018-08-02,954,1105,486 days 00:00:00.000000000,13.74074074074074,0
214,Régulière,3 days 06:24:00.000000000,3 days 00:00:00.000000000,8 days 00:00:00.000000000,2017-04-02,2018-08-05,210,780,490 days 00:00:00.000000000,3.0,0
216,Régulière,1 days 12:17:46.666666666,1 days 00:00:00.000000000,5 days 00:00:00.000000000,2017-04-03,2018-08-06,938,1647,490 days 00:00:00.000000000,13.4,0
218,Régulière,15 days 03:52:15.483870967,9 days 00:00:00.000000000,60 days 00:00:00.000000000,2017-04-19,2018-08-02,28,65,470 days 00:00:00.000000000,0.4170212765957447,0
221,Régulière,109 days 12:00:00.000000000,96 days 00:00:00.000000000,158 days 00:00:00.000000000,2017-04-06,2018-06-18,5,1,438 days 00:00:00.000000000,0.07990867579908675,1
235,Régulière,6 days 17:00:00.000000000,6 days 00:00:00.000000000,15 days 00:00:00.000000000,2017-04-04,2018-07-31,98,180,483 days 00:00:00.000000000,1.4202898550724639,0
239,Régulière,1 days 21:43:23.952569169,1 days 00:00:00.000000000,6 days 00:00:00.000000000,2017-04-04,2018-07-30,477,913,482 days 00:00:00.000000000,6.927385892116183,0
241,Régulière,1 days 18:09:01.935483870,1 days 00:00:00.000000000,7 days 00:00:00.000000000,2017-04-03,2018-08-06,361,981,490 days 00:00:00.000000000,5.157142857142857,0
242,Régulière,4 days 15:11:01.224489795,2 days 00:00:00.000000000,63 days 00:00:00.000000000,2017-04-03,2017-11-16,76,235,227 days 00:00:00.000000000,2.343612334801762,0
248,Régulière,13 days 12:20:34.285714285,11 days 00:00:00.000000000,65 days 00:00:00.000000000,2017-04-09,2018-07-26,37,40,473 days 00:00:00.000000000,0.547568710359408,0
250,Régulière,2 days 02:05:45.851528384,1 days 00:00:00.000000000,15 days 00:00:00.000000000,2017-04-03,2018-07-25,428,617,478 days 00:00:00.000000000,6.2677824267782425,0
257,Régulière,6 days 16:00:00.000000000,7 days 00:00:00.000000000,8 days 00:00:00.000000000,2017-04-03,2017-12-19,56,209,260 days 00:00:00.000000000,1.5076923076923077,0
259,Régulière,35 days 17:27:16.363636363,28 days 00:00:00.000000000,84 days 00:00:00.000000000,2017-05-02,2018-05-30,13,21,393 days 00:00:00.000000000,0.23155216284987276,0
260,PO requis,33 days 00:00:00.000000000,27 days 12:00:00.000000000,71 days 00:00:00.000000000,2017-04-17,2018-07-23,16,12,462 days 00:00:00.000000000,0.24242424242424243,0
266,Régulière,2 days 05:15:36.986301369,2 days 00:00:00.000000000,7 days 00:00:00.000000000,2017-04-04,2018-08-03,342,1132,486 days 00:00:00.000000000,4.925925925925926,0
268,Régulière,1 days 22:22:04.800000000,1 days 00:00:00.000000000,8 days 00:00:00.000000000,2017-04-04,2018-07-31,503,449,483 days 00:00:00.000000000,7.289855072463768,0
273,Régulière,125 days 00:00:00.000000000,125 days 00:00:00.000000000,125 days 00:00:00.000000000,2017-05-04,2017-09-06,3,5,125 days 00:00:00.000000000,0.168,1
275,Régulière,1 days 09:21:08.767908309,1 days 00:00:00.000000000,5 days 00:00:00.000000000,2017-04-03,2018-08-01,877,1305,485 days 00:00:00.000000000,12.657731958762886,0
277,Régulière,1 days 11:44:29.538461538,1 days 00:00:00.000000000,5 days 00:00:00.000000000,2017-04-03,2018-07-31,428,596,484 days 00:00:00.000000000,6.1900826446281,0
283,Régulière,30 days 14:46:09.230769231,28 days 00:00:00.000000000,84 days 00:00:00.000000000,2017-05-18,2018-06-20,15,22,398 days 00:00:00.000000000,0.2638190954773869,0
289,Régulière,2 days 07:03:55.514018691,2 days 00:00:00.000000000,7 days 00:00:00.000000000,2017-04-02,2018-08-06,515,1514,491 days 00:00:00.000000000,7.342158859470469,0
290,Régulière,38 days 04:00:00.000000000,32 days 00:00:00.000000000,64 days 00:00:00.000000000,2017-05-04,2018-08-05,14,23,458 days 00:00:00.000000000,0.21397379912663755,0
293,Régulière,139 days 00:00:00.000000000,139 days 00:00:00.000000000,139 days 00:00:00.000000000,2018-01-09,2018-05-28,2,3,139 days 00:00:00.000000000,0.10071942446043167,1
308,Régulière,28 days 22:17:08.571428571,27 days 12:00:00.000000000,64 days 00:00:00.000000000,2017-05-17,2018-06-26,16,16,405 days 00:00:00.000000000,0.2765432098765432,0
310,Régulière,1 days 10:01:43.746397694,1 days 00:00:00.000000000,6 days 00:00:00.000000000,2017-04-02,2018-08-07,1563,1273,492 days 00:00:00.000000000,22.23780487804878,0
311,Régulière,1 days 09:46:49.248554913,1 days 00:00:00.000000000,5 days 00:00:00.000000000,2017-04-03,2018-08-03,554,1054,487 days 00:00:00.000000000,7.9630390143737175,0
314,Régulière,33 days 05:32:18.461538461,42 days 00:00:00.000000000,70 days 00:00:00.000000000,2017-04-04,2018-06-10,14,20,432 days 00:00:00.000000000,0.22685185185185183,0
315,Régulière,2 days 04:19:27.567567567,1 days 00:00:00.000000000,7 days 00:00:00.000000000,2017-04-04,2018-08-01,476,456,484 days 00:00:00.000000000,6.884297520661157,0
326,Régulière,10 days 01:36:00.000000000,9 days 00:00:00.000000000,35 days 00:00:00.000000000,2017-04-23,2018-07-20,53,43,453 days 00:00:00.000000000,0.8189845474613686,0
335,Régulière,72 days 06:00:00.000000000,82 days 00:00:00.000000000,121 days 00:00:00.000000000,2017-07-24,2018-05-09,5,13,289 days 00:00:00.000000000,0.12110726643598617,1
336,PO requis,10 days 11:09:46.046511627,7 days 00:00:00.000000000,90 days 00:00:00.000000000,2017-04-11,2018-07-05,52,241,450 days 00:00:00.000000000,0.8088888888888889,1
347,Régulière,3 days 06:19:27.567567567,3 days 00:00:00.000000000,11 days 00:00:00.000000000,2017-04-04,2018-07-31,189,292,483 days 00:00:00.000000000,2.739130434782609,0
356,Régulière,44 days 12:00:00.000000000,46 days 12:00:00.000000000,78 days 00:00:00.000000000,2017-04-02,2018-06-21,12,57,445 days 00:00:00.000000000,0.18876404494382024,0
359,Narcotique,42 days 02:24:00.000000000,41 days 00:00:00.000000000,77 days 00:00:00.000000000,2017-04-13,2018-06-08,11,21,421 days 00:00:00.000000000,0.1828978622327791,0
360,Régulière,1 days 09:50:13.953488372,1 days 00:00:00.000000000,5 days 00:00:00.000000000,2017-04-03,2018-08-01,2094,1961,485 days 00:00:00.000000000,30.222680412371133,0
370,Régulière,46 days 08:00:00.000000000,47 days 00:00:00.000000000,106 days 00:00:00.000000000,2017-04-30,2018-06-21,11,48,417 days 00:00:00.000000000,0.18465227817745802,1
373,PO requis,50 days 08:00:00.000000000,21 days 00:00:00.000000000,245 days 00:00:00.000000000,2017-04-26,2018-07-23,10,6,453 days 00:00:00.000000000,0.1545253863134658,1
374,Régulière,1 days 11:48:55.384615384,1 days 00:00:00.000000000,5 days 00:00:00.000000000,2017-04-03,2018-08-01,521,1719,485 days 00:00:00.000000000,7.519587628865979,0
375,Régulière,2 days 16:07:52.131147540,2 days 00:00:00.000000000,7 days 00:00:00.000000000,2017-04-03,2018-08-05,271,805,489 days 00:00:00.000000000,3.8793456032719833,0
381,Régulière,2 days 21:16:10.059880239,2 days 00:00:00.000000000,20 days 00:00:00.000000000,2017-04-05,2018-07-31,236,510,482 days 00:00:00.000000000,3.4273858921161824,0
383,Régulière,3 days 05:57:35.033557046,2 days 00:00:00.000000000,8 days 00:00:00.000000000,2017-04-04,2018-08-01,228,1129,484 days 00:00:00.000000000,3.2975206611570247,0
387,Régulière,7 days 00:21:10.588235294,4 days 00:00:00.000000000,31 days 00:00:00.000000000,2017-04-04,2018-07-25,83,122,477 days 00:00:00.000000000,1.2180293501048218,0
398,PO requis,51 days 21:20:00.000000000,43 days 00:00:00.000000000,190 days 00:00:00.000000000,2017-04-12,2018-07-23,10,19,467 days 00:00:00.000000000,0.14989293361884368,1
